wielkosc tablicy;looking_Value;result;czas;liczba operacji;;;;
57700000;28850000;True;2;1;;;;
57800000;28900000;True;2;1;;;;
57900000;28950000;True;1;1;;;;
58000000;29000000;True;3;1;;;;
58100000;29050000;True;2;1;;;;
58200000;29100000;True;3;1;;;;
58300000;29150000;True;2;1;;;;
58400000;29200000;True;1;1;;;;
58500000;29250000;True;2;1;;;;
58600000;29300000;True;2;1;;;;
58700000;29350000;True;2;1;;;;
58800000;29400000;True;4;1;;;;
58900000;29450000;True;2;1;;;;
59000000;29500000;True;2;1;;;;
59100000;29550000;True;3;1;;;;
59200000;29600000;True;1;1;;;;
59300000;29650000;True;2;1;;;;
59400000;29700000;True;2;1;;;;
59500000;29750000;True;2;1;;;;
59600000;29800000;True;3;1;;;;
59700000;29850000;True;2;1;;;;
59800000;29900000;True;2;1;;;;
59900000;29950000;True;2;1;;;;
60000000;30000000;True;2;1;;;;
60100000;30050000;True;2;1;;;;
60200000;30100000;True;1;1;;;;
60300000;30150000;True;2;1;;;;
60400000;30200000;True;1;1;;;;
60500000;30250000;True;1;1;;;;
60600000;30300000;True;2;1;;;;
60700000;30350000;True;3;1;;;;
60800000;30400000;True;1;1;;;;
60900000;30450000;True;3;1;;;;
61000000;30500000;True;1;1;;;;
61100000;30550000;True;1;1;;;;
61200000;30600000;True;2;1;;;;
61300000;30650000;True;2;1;;;;
61400000;30700000;True;1;1;;;;
61500000;30750000;True;2;1;;;;
61600000;30800000;True;2;1;;;;
61700000;30850000;True;2;1;;;;
61800000;30900000;True;2;1;;;;
61900000;30950000;True;2;1;;;;
62000000;31000000;True;3;1;;;;
62100000;31050000;True;2;1;;;;
62200000;31100000;True;2;1;;;;
62300000;31150000;True;1;1;;;;
62400000;31200000;True;2;1;;;;
62500000;31250000;True;3;1;;;;
62600000;31300000;True;2;1;;;;
62700000;31350000;True;2;1;;;;
62800000;31400000;True;3;1;;;;
62900000;31450000;True;2;1;;;;
63000000;31500000;True;2;1;;;;
63100000;31550000;True;4;1;;;;
63200000;31600000;True;2;1;;;;
63300000;31650000;True;2;1;;;;
63400000;31700000;True;3;1;;;;
63500000;31750000;True;0;1;;;;
63600000;31800000;True;2;1;;;;
63700000;31850000;True;1;1;;;;
63800000;31900000;True;2;1;;;;
63900000;31950000;True;2;1;;;;
64000000;32000000;True;1;1;;;;
64100000;32050000;True;2;1;;;;
64200000;32100000;True;2;1;;;;
64300000;32150000;True;2;1;;;;
64400000;32200000;True;0;1;;;;
64500000;32250000;True;1;1;;;;
64600000;32300000;True;3;1;;;;
64700000;32350000;True;2;1;;;;
64800000;32400000;True;1;1;;;;
64900000;32450000;True;2;1;;;;
65000000;32500000;True;3;1;;;;
65100000;32550000;True;2;1;;;;
65200000;32600000;True;2;1;;;;
65300000;32650000;True;3;1;;;;
65400000;32700000;True;2;1;;;;
65500000;32750000;True;3;1;;;;
65600000;32800000;True;2;1;;;;
65700000;32850000;True;2;1;;;;
65800000;32900000;True;4;1;;;;
65900000;32950000;True;1;1;;;;
66000000;33000000;True;3;1;;;;
66100000;33050000;True;1;1;;;;
66200000;33100000;True;3;1;;;;
66300000;33150000;True;3;1;;;;
66400000;33200000;True;3;1;;;;
66500000;33250000;True;1;1;;;;
66600000;33300000;True;2;1;;;;
66700000;33350000;True;1;1;;;;
66800000;33400000;True;2;1;;;;
66900000;33450000;True;1;1;;;;
67000000;33500000;True;2;1;;;;
67100000;33550000;True;2;1;;;;
67200000;33600000;True;2;1;;;;
67300000;33650000;True;4;1;;;;
67400000;33700000;True;2;1;;;;
67500000;33750000;True;2;1;;;;
67600000;33800000;True;2;1;;;;
67700000;33850000;True;2;1;;;;
67800000;33900000;True;2;1;;;;
67900000;33950000;True;3;1;;;;
68000000;34000000;True;1;1;;;;
68100000;34050000;True;2;1;;;;
68200000;34100000;True;1;1;;;;
68300000;34150000;True;0;1;;;;
68400000;34200000;True;1;1;;;;
68500000;34250000;True;1;1;;;;
68600000;34300000;True;2;1;;;;
68700000;34350000;True;0;1;;;;
68800000;34400000;True;2;1;;;;
68900000;34450000;True;2;1;;;;
69000000;34500000;True;3;1;;;;
69100000;34550000;True;3;1;;;;
69200000;34600000;True;2;1;;;;
69300000;34650000;True;2;1;;;;
69400000;34700000;True;3;1;;;;
69500000;34750000;True;2;1;;;;
69600000;34800000;True;4;1;;;;
69700000;34850000;True;3;1;;;;
69800000;34900000;True;0;1;;;;
69900000;34950000;True;1;1;;;;
70000000;35000000;True;2;1;;;;
70100000;35050000;True;2;1;;;;
70200000;35100000;True;3;1;;;;
70300000;35150000;True;2;1;;;;
70400000;35200000;True;3;1;;;;
70500000;35250000;True;1;1;;;;
70600000;35300000;True;2;1;;;;
70700000;35350000;True;3;1;;;;
70800000;35400000;True;3;1;;;;
70900000;35450000;True;4;1;;;;
71000000;35500000;True;3;1;;;;
71100000;35550000;True;0;1;;;;
71200000;35600000;True;1;1;;;;
71300000;35650000;True;2;1;;;;
71400000;35700000;True;4;1;;;;
71500000;35750000;True;1;1;;;;
71600000;35800000;True;2;1;;;;
71700000;35850000;True;4;1;;;;
71800000;35900000;True;1;1;;;;
71900000;35950000;True;2;1;;;;
72000000;36000000;True;1;1;;;;
72100000;36050000;True;2;1;;;;
72200000;36100000;True;2;1;;;;
72300000;36150000;True;3;1;;;;
72400000;36200000;True;2;1;;;;
72500000;36250000;True;2;1;;;;
72600000;36300000;True;3;1;;;;
72700000;36350000;True;1;1;;;;
72800000;36400000;True;2;1;;;;
72900000;36450000;True;2;1;;;;
73000000;36500000;True;3;1;;;;
73100000;36550000;True;5;1;;;;
73200000;36600000;True;0;1;;;;
73300000;36650000;True;2;1;;;;
73400000;36700000;True;2;1;;;;
73500000;36750000;True;3;1;;;;
73600000;36800000;True;2;1;;;;
73700000;36850000;True;2;1;;;;
73800000;36900000;True;2;1;;;;
73900000;36950000;True;2;1;;;;
74000000;37000000;True;2;1;;;;
74100000;37050000;True;2;1;;;;
74200000;37100000;True;1;1;;;;
74300000;37150000;True;1;1;;;;
74400000;37200000;True;1;1;;;;
74500000;37250000;True;3;1;;;;
74600000;37300000;True;2;1;;;;
74700000;37350000;True;2;1;;;;
74800000;37400000;True;4;1;;;;
74900000;37450000;True;3;1;;;;
75000000;37500000;True;3;1;;;;
75100000;37550000;True;1;1;;;;
75200000;37600000;True;2;1;;;;
75300000;37650000;True;1;1;;;;
75400000;37700000;True;3;1;;;;
